match_id,player_slot,radiant_win,duration,game_mode,lobby_type,kills,deaths,assists,start_time,lane,lane_role,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,tower_damage,hero_damage,hero_healing,last_hits
6217037143,131,true,1778,22,7,4,4,5,1633875702,,,77,21,40,635,11,214,0,0,7066,131,97
6216938645,1,false,2880,22,7,6,4,11,1633872331,,,63,160,63,116,26,166,149,1589,39129,0,297
6215521042,130,true,2123,22,7,9,6,9,1633792884,,,126,50,108,100,23,77,77,0,20362,0,159
6215393458,3,true,4122,22,7,16,8,18,1633787995,,,93,135,249,116,603,63,160,22606,53044,0,504
6207303807,128,false,3593,22,7,21,8,16,1633269110,1,3,39,156,96,116,98,135,112,12571,59946,0,462
6205872397,0,false,2708,22,7,16,5,11,1633187357,,,74,156,98,116,0,141,48,3680,54308,0,259
6205800871,129,true,2212,22,7,7,7,10,1633184736,,,41,485,172,116,249,63,75,0,12111,0,265
6205727729,130,true,2355,22,7,14,5,8,1633181992,,,35,236,63,172,249,135,52,3126,30240,0,258
6204342904,3,false,2441,22,7,7,4,7,1633099033,,,34,178,41,201,1,273,108,0,79831,0,175
6204271914,3,false,2320,22,7,11,6,7,1633096359,,,76,36,58,116,24,63,534,1321,22951,0,197
6201639539,131,false,2678,22,7,20,4,15,1632925934,,,60,50,208,116,1,225,252,4002,38673,0,243
6201551155,2,true,2943,22,7,11,6,16,1632922432,,,63,236,168,116,133,149,26,12327,47421,0,278
6200374222,128,false,2060,22,7,7,8,21,1632840123,,,129,50,178,116,1,11,37,195,16438,0,106
6200293186,131,false,2766,22,7,18,4,9,1632836927,,,76,123,96,0,249,63,534,5127,44940,0,270
6197703225,2,true,1541,22,7,5,1,15,1632666133,,,99,178,63,36,11,108,125,4248,13817,0,153
6197624172,130,true,2296,22,7,6,8,9,1632663364,,,19,50,65,116,1,141,252,630,22781,0,233
6196183870,131,false,2818,22,7,16,3,28,1632580297,,,35,50,158,116,152,160,139,14815,61104,0,369
6196079219,0,true,3059,22,7,8,9,20,1632576731,,,77,40,116,635,168,143,108,7304,18081,3760,350
6194550620,0,true,3003,22,7,14,10,14,1632493019,,,9,141,147,116,40,63,166,7435,31369,0,244
6194487494,3,true,1922,22,7,21,2,18,1632490689,,,19,50,249,37,1,55,252,11072,39645,0,132
6193251810,3,true,1302,22,7,8,1,8,1632407566,,,28,36,63,11,1,73,125,588,11223,0,64
6193174622,131,true,2429,22,7,18,4,8,1632404626,,,34,178,41,37,1,121,108,0,47984,0,243
6190625099,1,false,3196,22,7,20,5,7,1632235461,2,2,81,108,98,116,249,63,154,8397,45523,0,368
6190539623,131,false,2427,22,7,13,5,14,1632232294,,,106,50,1466,116,123,36,569,2667,36860,314,209
6187653594,4,false,4013,22,0,6,6,24,1632062239,3,3,77,168,208,116,635,220,55,18058,35100,10923,475
6187539413,2,true,2688,22,0,37,8,13,1632058399,,,104,50,100,108,249,235,252,6596,62294,4910,205
6185967552,3,true,2968,22,7,10,13,20,1631975440,,,135,162,40,116,249,252,63,1798,29942,5620,167
6185906563,0,false,1770,22,7,0,7,1,1631973358,,,84,42,190,65,216,29,244,0,3626,800,40
6184466820,2,true,1964,22,7,8,5,19,1631889486,,,14,131,36,40,1,232,214,459,19738,6376,72
6184404734,132,true,1809,22,7,3,6,11,1631887260,,,54,50,92,229,40,218,181,0,7564,240,43
6181833297,130,false,2272,22,7,9,3,12,1631719849,,,1,27,208,147,145,63,160,7364,24991,55,344
6181753621,3,false,2451,22,7,0,7,6,1631716790,,,72,149,63,116,26,236,108,397,28317,0,341
6181664136,131,true,2833,22,7,3,5,19,1631713483,,,135,50,226,116,40,162,252,120,20590,1924,250
6179136994,3,true,2257,22,7,7,1,10,1631545313,,,11,63,156,263,249,154,117,23266,15449,110,324
